,name
1281,Luganda
1282,Ladin
1283,Londo
1284,Lendu
1285,Lebeo
1286,Leko
1287,Lega
1288,Lele
1289,Lenakel
1290,Lepcha
1291,Lese
1292,Leti
1293,Lewo
1294,Lezgian
1295,Luangiua
1296,Low German
1297,Langi
1298,Língua Gestual Portuguesa
1299,Logoti
1300,Longgu
1301,Laha
1302,Lhomi
1303,Hlai (Baoding)
1304,Lingua Italiana dei Segni
1305,Lillooet
1306,Limbu
1307,Lingala
1308,Lisu
1309,Lithuanian
1310,Liv
1311,Lauje
1312,Lakkia
1313,Lakhota
1314,Lamu-Lamu
1315,Lelemi
1316,Loma
1317,Lamba
1318,Lamang
1319,Lamaholot
1320,Limilngan
1321,Lamani
1322,Lampung
1323,Lamen
1324,Linda
1325,Lengua
1326,Linngithig
1327,Ladino
1328,Lamnso'
1329,Lonwolwol
1330,Lobi
1331,Loko
1332,Loniu
1333,Lotha
1334,Lou
1335,Loven
1336,Lozi
1337,Lardil
1338,Larike
1339,Lengua de Señas Argentina
1340,Língua de Sinais Brasileira
1341,Lengua de Señas Española
1342,Langue des Signes Française
1343,Langue des Signes Québecoise
1344,Lü
1345,Lua
1346,Lucazi
1347,Lun Dayeh
1348,Lugbara
1349,Luiseño
1350,Lule
1351,Lummi
1352,Lungchang
1353,Luo
1354,Luri
1355,Lushootseed
1356,Luvale
1357,Luxemburgeois
1358,Luyia
1359,Lyele
1360,Ma
1361,Maasai
1362,Maba
1363,Macushi
1364,Ma'di
1365,Mae
1366,Magar
1367,Mari (Hill)
1368,Maithili
1369,Majang
1370,Makah
1371,Malagasy
1372,Mam
1373,Mano
1374,Maori
1375,Mapudungun
1376,Maricopa
1377,Masa
1378,Maung
1379,Maring
1380,Maninka (Western)
1381,Maxakalí
1382,Maybrat
1383,Mazahua
1384,Mba
1385,Mbabaram
1386,Mbere
1387,Mbugu
1388,Mbili
1389,Mbole
1390,Mbum
1391,Monumbo
1392,Mbara
1393,Mangbetu
1394,Manambu
1395,Mbay
1396,Mbe'
1397,Maca
1398,Mochica
1399,Macedonian
1400,Mískito Coast English Creole
1401,Michif
1402,Macaguán
1403,Machiguenga
1404,Macuna
1405,Mixe (Coatlán)
1406,Mauritian Creole
1407,Miwok (Central Sierra)
1408,Mocoví
1409,Mada (in Cameroon)
1410,Mudburra
1411,Mende
1412,Mundang
1413,Mandinka
1414,Matngele
1415,Madimadi
1416,Mandan
1417,Mbodomo
1418,Madurese
1419,Manadonese
1420,Mündü
1421,Mbosi
1422,Mada (in Nigeria)
1423,Meyah
1424,Melayu Betawi
1425,Me'en
1426,Mehri
1427,Meithei
1428,Mekens
1429,Melanau
1430,Manem
1431,Menomini
1432,Meryam Mir
1433,Menya
1434,Mondunga
1435,Mongondow
1436,Mangghuer
1437,Magahi
1438,Magi
1439,Mungaka
1440,Mingrelian
1441,Magindanao
1442,Mongo
1443,Mango
1444,Musgu
1445,Mahican
1446,Marathi
1447,Mehek
1448,Miri (Hill):
1449,Mah Meri
1450,Mbalanhu
1451,Micmac
1452,Midob
1453,Mien
1454,Migama
1455,Miisiirii
1456,Miju
1457,Mikir
1458,Milang
1459,Minangkabau
1460,Miriwung
1461,Miskito
1462,Mituku
1463,Miya
1464,Mizo
1465,Mixtec (Jamiltepec)
1466,Mixtec (San Juan Colorado)
1467,Manjaku
1468,Mauka
1469,Miwok (Bodega)
1470,Makonde
1471,Mekeo
1472,Mandinka (Gambian)
1473,Mikasuki
1474,Makasae
1475,Maklew
1476,Mankanya
1477,Mokilko
1478,Mankon
1479,Mikarew
1480,Makassar
1481,Maranungku
1482,Máku
1483,Makaa
1484,Mambila
1485,Malacca Creole
1486,Maale
1487,Malgwa
1488,Mali
1489,Malakmalak
1490,Molala
1491,Mlabri (Minor)
1492,Maltese
1493,Maleu
1494,Malay
1495,Mandaic (Modern)
1496,Mangap-Mbula
1497,Mari (Meadow)
1498,Mambai
1499,Mamanwa
1500,Mordvin (Moksha)
1501,Mampruli
1502,Mamasa
1503,Malay (Ulu Muar)
1504,Mamvu
1505,Mambwe
1506,Muna
1507,Manchu
1508,Mandarin
1509,Maidu (Northeast)
1510,Manggarai
1511,Moni
1512,Mantjiltjara
1513,Maninka
1514,Manam
1515,Mono (in United States)
1516,Mandar
1517,Mansi
1518,Mentawai
1519,Mun
1520,Minaveha
1521,Manx
1522,Margany
1523,Munzombo
1524,Mono-Alu
1525,Moca
1526,Mordvin (Erzya)
1527,Mofu-Gudur
1528,Moghol
1529,Mohawk
1530,Mojave
1531,Mokilese
1532,Moldavian
1533,Mombum
1534,Mon
1535,Mooré
1536,Mopan
1537,Mor
1538,Mosetén
1539,Motuna
1540,Moru
1541,Movima
1542,Murrinh-Patha
1543,Mpongwe
1544,Maipure
1545,Mian
1546,Mpur
1547,Mapoyo
1548,Martinique Creole
1549,Momuna
1550,Mara
1551,Marchha
1552,Marind
1553,Margi
1554,Marrithiyel
1555,Moraori
1556,Mirniny
1557,Murik
1558,Murle
1559,Maranao
1560,Moro
